OBJECTID,MUID,SEQN,SNAM,S5ID,CMPPCT,NLAYERS,HYDGRP,SOL_ZMX,ANION_EXCL,SOL_CRK,TEXTURE,SOL_Z1,SOL_BD1,SOL_AWC1,SOL_K1,SOL_CBN1,CLAY1,SILT1,SAND1,ROCK1,SOL_ALB1,USLE_K1,SOL_EC1,SOL_Z2,SOL_BD2,SOL_AWC2,SOL_K2,SOL_CBN2,CLAY2,SILT2,SAND2,ROCK2,SOL_ALB2,USLE_K2,SOL_EC2,SOL_Z3,SOL_BD3,SOL_AWC3,SOL_K3,SOL_CBN3,CLAY3,SILT3,SAND3,ROCK3,SOL_ALB3,USLE_K3,SOL_EC3,SOL_Z4,SOL_BD4,SOL_AWC4,SOL_K4,SOL_CBN4,CLAY4,SILT4,SAND4,ROCK4,SOL_ALB4,USLE_K4,SOL_EC4,SOL_Z5,SOL_BD5,SOL_AWC5,SOL_K5,SOL_CBN5,CLAY5,SILT5,SAND5,ROCK5,SOL_ALB5,USLE_K5,SOL_EC5,SOL_Z6,SOL_BD6,SOL_AWC6,SOL_K6,SOL_CBN6,CLAY6,SILT6,SAND6,ROCK6,SOL_ALB6,USLE_K6,SOL_EC6,SOL_Z7,SOL_BD7,SOL_AWC7,SOL_K7,SOL_CBN7,CLAY7,SILT7,SAND7,ROCK7,SOL_ALB7,USLE_K7,SOL_EC7,SOL_Z8,SOL_BD8,SOL_AWC8,SOL_K8,SOL_CBN8,CLAY8,SILT8,SAND8,ROCK8,SOL_ALB8,USLE_K8,SOL_EC8,SOL_Z9,SOL_BD9,SOL_AWC9,SOL_K9,SOL_CBN9,CLAY9,SILT9,SAND9,ROCK9,SOL_ALB9,USLE_K9,SOL_EC9,SOL_Z10,SOL_BD10,SOL_AWC10,SOL_K10,SOL_CBN10,CLAY10,SILT10,SAND10,ROCK10,SOL_ALB10,USLE_K10,SOL_EC10,SOL_CAL1,SOL_CAL2,SOL_CAL3,SOL_CAL4,SOL_CAL5,SOL_CAL6,SOL_CAL7,SOL_CAL8,SOL_CAL9,SOL_CAL10,SOL_PH1,SOL_PH2,SOL_PH3,SOL_PH4,SOL_PH5,SOL_PH6,SOL_PH7,SOL_PH8,SOL_PH9,SOL_PH10
450,,100,ps_pl,,1,3,B,1000,0.5,0.5,ps-pl-pl,230,1.56,0.16,27.4,0.95,0,6.7,93.3,0,0.22,0.1,0,750,1.68,0.1,14.7,0.29,0,2.7,97.3,0,0.22,0.1,0,1000,1.73,0.12,10.4,0.13,0,7.5,92.5,0,0.22,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451,,100,ps,,1,3,B,1000,0.5,0.5,ps-ps-ps,250,1.46,0.13,50,1.04,5,6,89,0,0.22,0.11,0,750,1.55,0.11,100,0.29,5,6,89,0,0.22,0.1,0,1500,1.63,0.09,100,0.06,5,6,89,0,0.22,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452,,100,pl,,1,3,A,1000,0.5,0.5,pl-pl-pl,250,1.56,0.15,100,0.89,1,9.1,89.9,0,0.24,0.08,0,750,1.69,0.09,150,0.18,1,2.6,96.4,0,0.24,0.08,0,1500,1.71,0.11,150,0.09,1,6.8,92.3,0,0.24,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453,,100,gl,,1,3,C,1000,0.5,0.5,gl-gl-gl,250,1.51,0.2,2.52,1.8,11.2,26.9,67.8,0,0.16,0.18,0,750,1.51,0.18,2.52,0.7,11.2,26.9,67.8,0,0.16,0.15,0,1500,1.51,0.15,2.52,0.4,11.2,26.9,67.8,0,0.16,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,,100,ps__pl,,1,3,B,1000,0.5,0.5,ps-ps-g,250,1.46,0.13,50,1.04,5,6,89,0,0.22,0.11,0,750,1.55,0.11,100,0.29,5,6,89,0,0.22,0.1,0,1500,1.63,0.09,100,0.06,5,6,89,0,0.22,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455,,100,T-n,,1,3,B,1000,0.5,0.5,tn-tn-tn,200,0.64,0.34,120,40,80,0,0,0,0.01,0.03,0,750,0.64,0.3,120,25,80,0,0,0,0.01,0.01,0,1500,0.64,0.34,120,40,80,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456,,100,pgm_gl,,1,3,C,1000,0.5,0.5,pgm-gl-gl,250,1.5,0.14,5,1.45,9,13,78,0,0.2,0.17,0,750,1.7,0.15,2.5,0.52,14,16,70,0,0.16,0.17,0,1500,1.7,0.15,2.5,0.12,14,16,70,0,0.16,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457,,100,E-mt,,1,3,B,1000,0.5,0.5,mt-mt-mt,250,0.9,0.35,36,30,50,0,0,0,0.01,0.06,0,750,0.7,0.35,36,30,50,0,0,0,0.01,0.01,0,1500,0.7,0.35,36,30,50,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,,100,pg,,1,3,A,1000,0.5,0.5,mpl-mpl-mpl,250,0.7,0.22,150,17.4,20,6,40,0,0.22,0.1,0,750,1.6,0.12,150,0.17,2,4,94,0,0.24,0.08,0,1500,1.7,0.12,150,0.06,2,4,94,0,0.24,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
459,,100,pgl,,1,3,A,1000,0.5,0.5,mpl-mpl-mpl,250,0.7,0.22,150,17.4,20,6,40,0,0.22,0.1,0,750,1.6,0.12,150,0.17,2,4,94,0,0.24,0.08,0,1500,1.7,0.12,150,0.06,2,4,94,0,0.24,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,,100,pgl_ps,,1,3,B,1000,0.5,0.5,pgl-ps-ps,250,1.59,0.2,15,0.65,1,23.7,75.3,0,0.2,0.12,0,750,1.67,0.15,10.5,0.2,1,12.5,86.5,0,0.2,0.12,0,1500,1.75,0.14,8.5,1,0,10.4,89.6,0,0.18,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
461,,100,pgl__ps,,1,3,A,1000,0.5,0.5,pgl-pgl-ps,250,1.5,0.15,10.8,1.28,7,9,84,0,0.2,0.13,0,750,1.6,0.13,10.8,0.46,7,9,84,0,0.2,0.13,0,1500,1.63,0.09,25.2,0.06,5,6,89,0,0.22,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462,,100,pgl__gl,,1,3,B,1000,0.5,0.5,pgl-pgl-gl,250,1.5,0.13,10.8,1.45,7,9,84,0,0.2,0.13,0,750,1.65,0.13,10.8,0.52,7,9,84,0,0.2,0.13,0,1500,1.7,0.15,2.5,0.12,14,16,70,0,0.16,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463,,100,M-p,,1,3,A,1000,0.5,0.5,M-p-p,250,0.7,0.3,252,17.4,5,6,89,0,0.22,0.1,0,750,1.78,0.12,8.8,0.3,1,8.3,90.8,0,0.18,0.15,0,1500,1.78,0.12,8.8,0.3,1,8.3,90.8,0,0.18,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
