lulc_mgt,mon_1,day_1,mon_2,day_2,operation,op_data1,op_data2,op_data3
orcd,,,,,initial_plant,orcd,"1,1000,0,0,1,1000",
orcd,6,1,6,30,harvest_only,orcd,orchard,
frst,,,,,initial_plant,frst,"2,50000,0,0,1,10000",
frse,,,,,initial_plant,frse,"2,50000,0,0,1,10000",
frsd,,,,,initial_plant,frsd,"2,50000,0,0,1,10000",
wetl,,,,,initial_plant,wetl_,"2,50000,0,0,1,10000",
fesc1,,,,,initial_plant,fesc,"1,1000,0,0,1,1000",
fesc1,6,15,6,30,harvest_only,fesc,hay_cut_low,
fesc1,9,1,9,15,harvest_only,fesc,hay_cut_low,
alfa1,,,,,initial_plant,lupn,"1,1000,0,0,1,1000",
alfa1,4,1,4,15,fertilizer,elem_n,broadcast,35
alfa1,8,20,8,30,harvest_only,lupn,grain,NA
urld,,,,,initial_plant,rnge,"1,1000,0,0,1,1000",
urld,9,1,9,1,harvest_only,rnge,grass_mulch,
urhd,,,,,initial_plant,rnge,"1,1000,0,0,1,1000",
urhd,9,1,9,1,harvest_only,rnge,grass_mulch,
urhd_drn_lum,,,,,initial_plant,fesc,"1,1000,0,0,1,1000",
urhd_drn_lum,,,,(md == 0901),harvest_only,fesc,grass_mulch,
